año,trimestre,provincia,accesos_telefonía_fija_(total),accesos_telefonía_fija_(hogares),accesos_telefonía_fija_(comercial),accesos_telefonía_fija_(gobierno),accesos_telefonía_fija_(otros)
2021,2,Corrientes,97971,89073,6921,440,1537
2021,2,Entre Ríos,207536,188688,14660,932,3256
2021,2,Formosa,36411,33104,2572,164,571
2021,2,Jujuy,44258,40239,3126,199,694
2021,2,La Pampa,71751,65235,5068,322,1126
2021,2,La Rioja,26765,24334,1891,120,420
2021,2,Mendoza,204522,185947,14447,919,3209
2021,2,Misiones,98622,89666,6966,443,1547
2021,2,Neuquén,72616,66022,5129,326,1139
2021,2,Río Negro,86287,78450,6095,388,1354
2021,2,Salta,120291,109367,8497,540,1887
2021,2,San Juan,66631,60580,4707,299,1045
2021,2,San Luis,33020,30022,2332,148,518
2021,2,Santa Cruz,27740,25220,1960,125,435
2021,2,Santa Fe,655796,596238,46324,2946,10288
2021,2,Santiago del Estero,66649,60596,4708,299,1046
2021,2,Tierra del Fuego,18937,17217,1338,85,297
2021,2,Tucumán,165702,150653,11705,744,2600
2021,1,Buenos Aires,3203761,2874157,247958,15146,66500
2021,1,Capital Federal,1395627,1252044,108016,6598,28969
2021,1,Catamarca,26597,23860,2059,126,552
2021,1,Chaco,75834,68032,5869,359,1574
2021,1,Chubut,73068,65551,5655,345,1517
2021,1,Córdoba,523748,469865,40536,2476,10871
2021,1,Corrientes,78850,70737,6103,373,1637
2021,1,Entre Ríos,168446,151117,13037,796,3496
2021,1,Formosa,31265,28048,2420,148,649
2021,1,Jujuy,42953,38534,3324,203,892
2021,1,La Pampa,71152,63832,5507,336,1477
2021,1,La Rioja,24254,21759,1877,115,503
2021,1,Mendoza,196315,176118,15194,928,4075
2021,1,Misiones,82076,73632,6352,388,1704
2021,1,Neuquén,74404,66749,5759,352,1544
2021,1,Río Negro,82669,74164,6398,391,1716
2021,1,Salta,96214,86315,7447,455,1997
2021,1,San Juan,74837,67138,5792,354,1553
2021,1,San Luis,34431,30888,2665,163,715
2021,1,Santa Cruz,26930,24160,2084,127,559
2021,1,Santa Fe,570118,511464,44125,2695,11834
2021,1,Santiago del Estero,62157,55762,4811,294,1290
2021,1,Tierra del Fuego,21573,19353,1670,102,448
2021,1,Tucumán,163185,146397,12630,771,3387
2020,4,Buenos Aires,3232457,2906464,254292,14992,56709
2020,4,Capital Federal,1423882,1280284,112014,6604,24980
2020,4,Catamarca,33525,30145,2637,155,588
2020,4,Chaco,81113,72933,6381,376,1423
2020,4,Chubut,73019,65655,5744,339,1281
2020,4,Córdoba,535102,481136,42096,2482,9388
2020,4,Corrientes,85319,76714,6712,396,1497
2020,4,Entre Ríos,178988,160937,14081,830,3140
2020,4,Formosa,34057,30623,2679,158,597
2020,4,Jujuy,45686,41079,3594,212,801
2020,4,La Pampa,70628,63505,5556,328,1239
2020,4,La Rioja,29306,26351,2305,136,514
2020,4,Mendoza,196388,176583,15449,911,3445
2020,4,Misiones,85762,77112,6747,398,1505
2020,4,Neuquén,74546,67028,5864,346,1308
2020,4,Río Negro,84513,75990,6648,392,1483
2020,4,Salta,101610,91363,7993,471,1783
2020,4,San Juan,74837,67290,5887,347,1313
2020,4,San Luis,34431,30958,2709,160,604
2020,4,Santa Cruz,27239,24492,2143,126,478
2020,4,Santa Fe,592374,532634,46601,2747,10392
2020,4,Santiago del Estero,66338,59647,5219,308,1164
2020,4,Tierra del Fuego,21573,19398,1697,100,378
2020,4,Tucumán,181343,163055,14266,841,3181
2020,3,Buenos Aires,3233324,2919939,236054,15784,61547
2020,3,Capital Federal,1433000,1294110,104618,6995,27277
2020,3,Catamarca,33596,30339,2453,164,640
2020,3,Chaco,82542,74542,6026,403,1571
2020,3,Chubut,72950,65879,5326,356,1389
2020,3,Córdoba,549383,496134,40109,2682,10458
2020,3,Corrientes,86349,77979,6304,422,1644
2020,3,Entre Ríos,181304,163732,13236,885,3451
2020,3,Formosa,34864,31485,2545,170,664
2020,3,Jujuy,46331,41841,3382,226,882
2020,3,La Pampa,70536,63699,5150,344,1343
2020,3,La Rioja,29404,26553,2147,144,560
2020,3,Mendoza,196383,177349,14337,959,3738
2020,3,Misiones,88884,80269,6489,434,1692
2020,3,Neuquén,74481,67261,5438,364,1418
2020,3,Río Negro,85239,76977,6223,416,1623
2020,3,Salta,103159,93160,7531,504,1964
2020,3,San Juan,74844,67590,5464,365,1425
2020,3,San Luis,34436,31098,2514,168,656
2020,3,Santa Cruz,27279,24635,1992,133,519
2020,3,Santa Fe,624379,563862,45584,3048,11885
2020,3,Santiago del Estero,66338,59908,4843,324,1263
2020,3,Tierra del Fuego,21573,19482,1575,105,411
2020,3,Tucumán,181967,164330,13285,888,3464
2020,2,Buenos Aires,3232457,2906464,254292,14992,56709
2020,2,Capital Federal,1423882,1280284,112014,6604,24980
2020,2,Catamarca,33525,30145,2637,155,588
2020,2,Chaco,81113,72933,6381,376,1423
2020,2,Chubut,73019,65655,5744,339,1281
2020,2,Córdoba,535102,481136,42096,2482,9388
2020,2,Corrientes,85319,76714,6712,396,1497
2020,2,Entre Ríos,178988,160937,14081,830,3140
2020,2,Formosa,34057,30623,2679,158,597
2020,2,Jujuy,45686,41079,3594,212,801
2020,2,La Pampa,70628,63505,5556,328,1239
2020,2,La Rioja,29306,26351,2305,136,514
2020,2,Mendoza,196388,176583,15449,911,3445
2020,2,Misiones,85762,77112,6747,398,1505
2020,2,Neuquén,74546,67028,5864,346,1308
2020,2,Río Negro,84513,75990,6648,392,1483
2020,2,Salta,101610,91363,7993,471,1783
2020,2,San Juan,74837,67290,5887,347,1313
2020,2,San Luis,34431,30958,2709,160,604
2020,2,Santa Cruz,27239,24492,2143,126,478
2020,2,Santa Fe,592374,532634,46601,2747,10392
2020,2,Santiago del Estero,66338,59647,5219,308,1164
2020,2,Tierra del Fuego,21573,19398,1697,100,378
2020,2,Tucumán,181343,163055,14266,841,3181
2020,1,Buenos Aires,3261264,2925747,261533,14423,59561
2020,1,Capital Federal,1456196,1306383,116778,6440,26595
2020,1,Catamarca,29743,26683,2385,132,543
2020,1,Chaco,84041,75394,6740,372,1535
2020,1,Chubut,78692,70596,6311,348,1437
2020,1,Córdoba,574075,515015,46037,2539,10484
2020,1,Corrientes,87649,78631,7029,388,1601
2020,1,Entre Ríos,186835,167614,14983,826,3412
2020,1,Formosa,34562,31006,2772,153,631
2020,1,Jujuy,47985,43049,3848,212,876
2020,1,La Pampa,70733,63456,5672,313,1292
2020,1,La Rioja,27079,24292,2172,120,495
2020,1,Mendoza,210725,189045,16899,932,3849
2020,1,Misiones,90832,81487,7284,402,1659
2020,1,Neuquén,77487,69515,6214,343,1415
2020,1,Río Negro,88260,79180,7078,390,1612
2020,1,Salta,107506,96447,8621,475,1963
2020,1,San Juan,78502,70426,6295,347,1434
2020,1,San Luis,36334,32595,2914,161,664
2020,1,Santa Cruz,29360,26340,2354,130,536
2020,1,Santa Fe,624563,560308,50086,2762,11407
2020,1,Santiago del Estero,67237,60320,5392,297,1228
2020,1,Tierra del Fuego,23550,21127,1889,104,430
2020,1,Tucumán,182424,163656,14629,807,3332
2019,4,Buenos Aires,3348525,2994702,266943,14902,71978
2019,4,Capital Federal,1478871,1322606,117895,6581,31789
2019,4,Catamarca,31113,27826,2480,138,669
2019,4,Chaco,86928,77742,6930,387,1869
2019,4,Chubut,81784,73142,6520,364,1758
2019,4,Córdoba,604424,540558,48184,2690,12992
2019,4,Corrientes,89969,80463,7172,400,1934
2019,4,Entre Ríos,191513,171277,15267,852,4117
2019,4,Formosa,35319,31587,2816,157,759
2019,4,Jujuy,49460,44234,3943,220,1063
2019,4,La Pampa,71332,63795,5687,317,1533
2019,4,La Rioja,28349,25354,2260,126,609
2019,4,Mendoza,218661,195556,17432,973,4700
2019,4,Misiones,93753,83847,7474,417,2015
2019,4,Neuquén,78963,70620,6295,351,1697
2019,4,Río Negro,91113,81486,7263,405,1959
2019,4,Salta,110873,99158,8839,493,2383
2019,4,San Juan,80524,72016,6419,358,1731
2019,4,San Luis,37794,33801,3013,168,812
2019,4,Santa Cruz,30409,27196,2424,135,654
2019,4,Santa Fe,643060,575111,51264,2862,13823
2019,4,Santiago del Estero,68405,61178,5453,304,1470
2019,4,Tierra del Fuego,24283,21717,1936,108,522
2019,4,Tucumán,187391,167590,14939,834,4028
2019,3,Buenos Aires,3414932,3058655,268169,14853,73255
2019,3,Capital Federal,1497396,1341174,117588,6513,32121
2019,3,Catamarca,32676,29267,2566,142,701
2019,3,Chaco,88269,79060,6932,384,1893
2019,3,Chubut,83907,75153,6589,365,1800
2019,3,Córdoba,612366,548479,48088,2663,13136
2019,3,Corrientes,91158,81648,7159,396,1955
2019,3,Entre Ríos,194253,173987,15254,845,4167
2019,3,Formosa,35966,32214,2824,156,772
2019,3,Jujuy,50113,44885,3935,218,1075
2019,3,La Pampa,63774,57121,5008,277,1368
2019,3,La Rioja,29547,26464,2320,129,634
2019,3,Mendoza,225668,202124,17721,982,4841
2019,3,Misiones,95865,85864,7528,417,2056
2019,3,Neuquén,80350,71967,6310,349,1724
2019,3,Río Negro,94207,84378,7398,410,2021
2019,3,Salta,113707,101844,8929,495,2439
2019,3,San Juan,82462,73858,6476,359,1769
2019,3,San Luis,39274,35177,3084,171,842
2019,3,Santa Cruz,32023,28682,2515,139,687
2019,3,Santa Fe,647965,580363,50884,2818,13900
2019,3,Santiago del Estero,69371,62133,5448,302,1488
2019,3,Tierra del Fuego,25143,22521,1974,109,539
2019,3,Tucumán,192297,172235,15101,836,4125
2019,2,Buenos Aires,3348525,2994702,266943,14902,71978
2019,2,Capital Federal,1478871,1322606,117895,6581,31789
2019,2,Catamarca,31113,27826,2480,138,669
2019,2,Chaco,86928,77742,6930,387,1869
2019,2,Chubut,81784,73142,6520,364,1758
2019,2,Córdoba,604424,540558,48184,2690,12992
2019,2,Corrientes,89969,80463,7172,400,1934
2019,2,Entre Ríos,191513,171277,15267,852,4117
2019,2,Formosa,35319,31587,2816,157,759
2019,2,Jujuy,49460,44234,3943,220,1063
2019,2,La Pampa,71332,63795,5687,317,1533
2019,2,La Rioja,28349,25354,2260,126,609
2019,2,Mendoza,218661,195556,17432,973,4700
2019,2,Misiones,93753,83847,7474,417,2015
2019,2,Neuquén,78963,70620,6295,351,1697
2019,2,Río Negro,91113,81486,7263,405,1959
2019,2,Salta,110873,99158,8839,493,2383
2019,2,San Juan,80524,72016,6419,358,1731
2019,2,San Luis,37794,33801,3013,168,812
2019,2,Santa Cruz,30409,27196,2424,135,654
2019,2,Santa Fe,643060,575111,51264,2862,13823
2019,2,Santiago del Estero,68405,61178,5453,304,1470
2019,2,Tierra del Fuego,24283,21717,1936,108,522
2019,2,Tucumán,187391,167590,14939,834,4028
2019,1,Buenos Aires,3563157,3149299,280518,14901,118439
2019,1,Capital Federal,1599798,1413982,125948,6691,53177
2019,1,Catamarca,36178,31976,2848,151,1203
2019,1,Chaco,93703,82819,7377,392,3115
2019,1,Chubut,88768,78458,6988,371,2951
2019,1,Córdoba,656248,580025,51665,2744,21814
2019,1,Corrientes,95050,84010,7483,398,3159
2019,1,Entre Ríos,203743,180079,16040,852,6772
2019,1,Formosa,37799,33409,2976,158,1256
2019,1,Jujuy,51824,45804,4080,217,1723
2019,1,La Pampa,65887,58234,5187,276,2190
2019,1,La Rioja,32830,29017,2585,137,1091
2019,1,Mendoza,241006,213013,18974,1008,8011
2019,1,Misiones,101672,89863,8004,425,3380
2019,1,Neuquén,83521,73821,6575,349,2776
2019,1,Río Negro,100373,88715,7902,420,3336
2019,1,Salta,122902,108627,9676,514,4085
2019,1,San Juan,85905,75928,6763,359,2855
2019,1,San Luis,42908,37925,3378,179,1426
2019,1,Santa Cruz,34171,30202,2690,143,1136
2019,1,Santa Fe,685178,605596,53942,2865,22775
2019,1,Santiago del Estero,72886,64420,5738,305,2423
2019,1,Tierra del Fuego,25181,22257,1982,105,837
2019,1,Tucumán,206715,182705,16274,865,6871
2018,4,Buenos Aires,4558545,4074597,332712,18514,132722
2018,4,Capital Federal,1753365,1567223,127972,7121,51049
2018,4,Catamarca,36970,33046,2698,150,1076
2018,4,Chaco,95754,85588,6989,389,2788
2018,4,Chubut,117520,105044,8577,477,3422
2018,4,Córdoba,671019,599782,48975,2725,19537
2018,4,Corrientes,96921,86631,7074,394,2822
2018,4,Entre Ríos,207407,185388,15138,842,6039
2018,4,Formosa,38705,34596,2825,157,1127
2018,4,Jujuy,52432,46865,3827,213,1527
2018,4,La Pampa,76460,68342,5581,311,2226
2018,4,La Rioja,33864,30268,2472,138,986
2018,4,Mendoza,360697,322404,26326,1465,10502
2018,4,Misiones,104246,93179,7609,423,3035
2018,4,Neuquén,109166,97577,7968,443,3178
2018,4,Río Negro,139693,124863,10196,567,4067
2018,4,Salta,126296,112888,9218,513,3677
2018,4,San Juan,115257,103021,8412,468,3356
2018,4,San Luis,51830,46328,3783,210,1509
2018,4,Santa Cruz,44277,39576,3232,180,1289
2018,4,Santa Fe,697606,623546,50916,2833,20311
2018,4,Santiago del Estero,74168,66295,5413,301,2159
2018,4,Tierra del Fuego,33372,29828,2436,136,972
2018,4,Tucumán,210346,188016,15352,854,6124
2018,3,Buenos Aires,4492692,4011556,328786,17993,134357
2018,3,Capital Federal,1775534,1585386,129938,7111,53099
2018,3,Catamarca,37877,33820,2772,152,1133
2018,3,Chaco,91629,81816,6706,367,2740
2018,3,Chubut,116981,104453,8561,469,3498
2018,3,Córdoba,674653,602402,49373,2702,20176
2018,3,Corrientes,94809,84656,6938,380,2835
2018,3,Entre Ríos,200199,178759,14651,802,5987
2018,3,Formosa,39405,35185,2884,158,1178
2018,3,Jujuy,53058,47376,3883,212,1587
