año,trimestre,provincia,accesos_telefonía_fija_por_cada_100_hab,accesos_telefonía_fija_por_cada_100_hogares
2019,3,Salta,8,33
2019,3,San Juan,10,41
2019,3,San Luis,7,27
2019,3,Santa Cruz,8,30
2019,3,Santa Fe,18,58
2019,3,Santiago del Estero,7,28
2019,3,Tierra del Fuego,14,49
2019,3,Tucumán,11,46
2019,4,Buenos Aires,19,58
2019,4,Capital Federal,48,115
2019,4,Catamarca,7,29
2019,4,Chaco,7,27
2019,4,Chubut,13,43
2019,4,Córdoba,15,52
2019,4,Corrientes,8,30
2019,4,Entre Ríos,13,46
2019,4,Formosa,5,23
2019,4,Jujuy,6,25
2019,4,La Pampa,19,60
2019,4,La Rioja,7,27
2019,4,Mendoza,11,39
2019,4,Misiones,7,27
2019,4,Neuquén,11,40
2019,4,Río Negro,12,39
2019,4,Salta,7,32
2019,4,San Juan,10,40
2019,4,San Luis,7,26
2019,4,Santa Cruz,8,28
2019,4,Santa Fe,18,58
2019,4,Santiago del Estero,7,28
2019,4,Tierra del Fuego,14,47
2019,4,Tucumán,11,44
2020,1,Buenos Aires,18,56
2020,1,Capital Federal,47,114
2020,1,Catamarca,7,28
2020,1,Chaco,7,26
2020,1,Chubut,12,41
2020,1,Córdoba,15,50
2020,1,Corrientes,7,29
2020,1,Entre Ríos,13,45
2020,1,Formosa,5,22
2020,1,Jujuy,6,24
2020,1,La Pampa,19,60
2020,1,La Rioja,6,25
2020,1,Mendoza,10,38
2020,1,Misiones,7,26
2020,1,Neuquén,11,39
2020,1,Río Negro,11,38
2020,1,Salta,7,31
2020,1,San Juan,10,39
2020,1,San Luis,7,25
2020,1,Santa Cruz,8,27
2020,1,Santa Fe,17,56
2020,1,Santiago del Estero,6,27
2020,1,Tierra del Fuego,13,46
2020,1,Tucumán,10,43
2020,2,Buenos Aires,14,42
2020,2,Capital Federal,30,74
2020,2,Catamarca,8,32
2020,2,Chaco,6,26
2020,2,Chubut,12,40
2020,2,Córdoba,14,48
2020,2,Corrientes,7,29
2020,2,Entre Ríos,13,44
2020,2,Formosa,5,22
2020,2,Jujuy,7,28
2020,2,La Pampa,19,59
2020,2,La Rioja,7,28
2020,2,Mendoza,10,36
2020,2,Misiones,7,25
2020,2,Neuquén,11,38
2020,2,Río Negro,11,38
2020,2,Salta,7,30
2020,2,San Juan,9,38
2020,2,San Luis,6,24
2020,2,Santa Cruz,7,25
2020,2,Santa Fe,17,55
2020,2,Santiago del Estero,6,27
2020,2,Tierra del Fuego,13,44
2020,2,Tucumán,10,43
2020,3,Buenos Aires,18,55
2020,3,Capital Federal,46,112
2020,3,Catamarca,8,31
