provincia,partido,localidad,población,adsl,cablemódem,dial_up,fibra_óptica,satelital,wireless,telefonía_fija,3g,4g,link,latitud,longitud
FORMOSA,Pilcomayo,Laguna Naick-Neck,2479,SI,--,--,--,SI,SI,SI,--,SI,34049030,-25,-58
FORMOSA,Pilcomayo,Palma Sola,212,--,--,--,--,--,SI,--,--,--,34049040,-25,-57
FORMOSA,Pilcomayo,Puerto Pilcomayo,669,--,--,--,--,--,SI,--,--,--,34049050,-25,-57
FORMOSA,Pilcomayo,Riacho He-He,4304,--,--,--,SI,--,SI,SI,SI,SI,34049060,-25,-58
FORMOSA,Pilcomayo,Riacho Negro,720,--,--,--,--,--,SI,--,--,SI,34049070,-25,-57
FORMOSA,Pilcomayo,Siete Palmas,863,SI,--,--,SI,--,SI,SI,--,SI,34049080,-25,-58
FORMOSA,Pirané,Colonia Campo Villafañe,4494,--,--,--,SI,--,SI,SI,--,SI,34056010,-26,-59
FORMOSA,Pirané,El Colorado,14228,SI,--,--,SI,SI,SI,SI,--,SI,34056020,-26,-59
JUJUY,Doctor Manuel Belgrano,Guerrero,518,SI,SI,--,SI,--,--,SI,SI,SI,38021010,-24,-65
JUJUY,Doctor Manuel Belgrano,La Almona,42,--,SI,--,SI,--,--,--,--,--,38021020,-24,-65
JUJUY,Doctor Manuel Belgrano,León,630,--,SI,--,--,--,--,--,--,--,38021030,-24,-65
JUJUY,Doctor Manuel Belgrano,Lozano (Ap. Chañi),1388,--,--,--,--,--,SI,SI,SI,SI,38021040,-24,-65
JUJUY,Doctor Manuel Belgrano,Ocloyas,70,--,--,--,--,--,--,--,--,--,38021050,-23,-65
JUJUY,Doctor Manuel Belgrano,San Pablo De Reyes,0,--,--,--,--,--,--,--,--,--,38021050,-24,-65
JUJUY,Doctor Manuel Belgrano,San Salvador de Jujuy (Est. Jujuy),257970,SI,SI,--,SI,SI,SI,SI,SI,SI,38021060,-24,-65
JUJUY,Doctor Manuel Belgrano,Yala,1953,--,--,--,--,--,SI,SI,SI,SI,38021070,-24,-65
JUJUY,El Carmen,Aguas Calientes,2563,--,--,--,--,--,SI,--,--,--,38014010,-24,-64
JUJUY,El Carmen,Barrio El Milagro,1321,--,--,--,--,--,--,--,--,--,38014020,-24,-65
JUJUY,El Carmen,Barrio La Unión,700,--,--,--,--,--,--,--,--,--,38014030,-24,-65
JUJUY,El Carmen,El Carmen,13623,SI,SI,--,SI,SI,SI,SI,SI,SI,38014040,-24,-65
JUJUY,El Carmen,Fleming,0,--,--,--,--,--,--,--,SI,SI,38014040,-24,-64
JUJUY,El Carmen,Los Lapachos (Est. Maquinista Verón),864,--,--,--,--,--,--,--,SI,SI,38014050,-24,-65
JUJUY,El Carmen,Loteo San Vicente,211,--,--,--,--,--,--,--,--,--,38014055,-24,-65
JUJUY,El Carmen,Manantiales,326,--,--,--,--,SI,--,--,SI,SI,38014060,-24,-64
MISIONES,Oberá,Barrio Escuela 633,719,--,--,--,--,--,--,--,SI,SI,54091017,-27,-55
MISIONES,Oberá,Campo Ramón,1235,--,SI,--,SI,SI,--,SI,--,--,54091020,-27,-55
MISIONES,Oberá,Campo Viera,7099,--,--,--,SI,--,SI,SI,--,SI,54091030,-27,-55
MISIONES,Oberá,El Salto,207,--,--,--,--,--,--,--,--,SI,54091040,-27,-55
MISIONES,Oberá,General Alvear,130,--,--,--,SI,--,--,--,--,--,54091050,-27,-55
MISIONES,Oberá,Guaraní,2824,SI,--,--,SI,--,--,SI,SI,SI,54091060,-27,-55
MISIONES,Oberá,Los Helechos,344,--,--,--,SI,--,--,--,--,--,54091070,-27,-55
MISIONES,Oberá,Oberá,63960,SI,SI,--,SI,--,SI,SI,SI,SI,54091080,-27,-55
MISIONES,Oberá,Panambí,700,--,--,--,SI,--,--,SI,--,--,54091090,-27,-54
MISIONES,Oberá,Panambi Kilómetro 15,163,--,--,--,--,--,--,--,--,--,54091105,-27,-54
MISIONES,Oberá,Panambí Kilómetro 8,1422,--,--,--,SI,--,--,--,--,--,54091100,-27,-54
MISIONES,Oberá,San Martín,815,--,--,--,SI,--,SI,SI,--,--,54091110,-27,-55
MISIONES,Oberá,Villa Bonita,1664,--,SI,--,SI,--,--,SI,--,SI,54091120,-27,-54
MISIONES,San Ignacio,Barrio Tungoil,199,--,--,--,--,--,--,--,--,--,54098005,-27,-55
MISIONES,San Ignacio,Colonia Polana,109,--,--,--,--,--,SI,--,--,--,54098010,-26,-55
MISIONES,San Ignacio,Corpus,2475,--,--,--,--,--,SI,SI,--,SI,54098020,-27,-55
MISIONES,San Ignacio,Domingo Savio,307,--,--,--,--,--,--,--,--,--,54098030,-27,-55
MISIONES,San Ignacio,General Urquiza,372,--,--,--,--,--,SI,--,--,--,54098040,-27,-55
MISIONES,San Pedro,San Pedro,10397,--,SI,--,SI,--,SI,SI,SI,SI,54112040,-26,-54
MISIONES,San Pedro,Tobuna,350,--,--,--,SI,--,SI,--,--,SI,54112050,-26,-53
NEUQUEN,Aluminé,Aluminé,4591,--,SI,--,SI,SI,SI,SI,--,SI,58007010,-39,-70
NEUQUEN,Aluminé,Moquehue,270,SI,--,--,--,--,SI,--,--,--,58007015,-38,-71
NEUQUEN,Aluminé,Villa Pehuenia,700,SI,--,SI,--,SI,SI,SI,SI,SI,58007020,-38,-71
