año,trimestre,provincia,otros,"0,256_mbps","0,5_mbps","0,512_mbps","0,75_mbps",1_mbps,2_mbps,3_mbps,"3,5_mbps",4_mbps,5_mbps,6_mbps,7_mbps,8_mbps,9_mbps,10_mbps,11_mbps,12_mbps,15_mbps,16_mbps,18_mbps,20_mbps,24_mbps,25_mbps,30_mbps,35_mbps,40_mbps,50_mbps,60_mbps,100_mbps,120_mbps,150_mbps,200_mbps,300_mbps,500_mbps,1000_mbps
2023,1,Santa Cruz,1044,3,26,22,218,6592,2106,2534,2001,826,1840,2221,13,2324,8,9035,0,2008,4188,0,725,2940,85,1454,2165,516,12,4880,0,409,0,0,0,0,0,0
2023,1,Santa Fe,18101,32,335,101,5,7650,7032,28805,172,5321,20329,35799,5739,11622,1440,161907,0,1139,23786,41,8,50012,39,8809,17601,58,1937,141020,303,167110,832,2825,9363,138244,12699,275
2023,1,Santiago Del Estero,993,0,39,139,908,278,380,7313,0,1220,418,11913,1273,86,0,55830,0,16231,476,0,0,4570,0,17,717,0,41,1020,1,6215,0,0,0,7435,724,11
2023,1,Tierra Del Fuego,4575,0,11,11,318,513,1,3,3740,2024,414,4762,0,8517,9,4522,0,11805,9133,0,236,174,193,3511,290,156,111,1482,56,172,0,33,1,339,0,0
2023,1,Tucumán,15126,0,19,20,0,1237,118,6529,2271,448,1225,12788,158,146,8,29317,0,12131,2876,0,0,10557,564,69,1089,12,3,61656,1,59929,0,0,3,39051,3453,26
2022,4,Buenos Aires,97634,18,28724,192,4611,18736,21152,53034,41976,14269,32973,96230,10945,64913,517,204191,10,22677,85876,258,161,135315,88,40387,777236,1365,3790,463798,435439,959951,454,230265,7109,680461,105237,40775
2022,4,Capital Federal,106772,31,451,34,1307,3789,286,3564,11975,991,3427,11077,7,16652,3,47991,5,12,29692,5,0,6622,0,2370,58801,9,122,76732,105156,403684,14,71077,2719,449001,90932,16708
2022,4,Catamarca,2280,0,34,37,0,315,115,979,0,0,71,1551,1,0,0,5027,0,407,742,0,0,3489,2228,1,893,0,0,30388,0,14136,0,0,42,7692,481,0
2022,4,Chaco,3909,0,234,2,0,660,780,3909,167,385,3588,7213,106,702,1,17037,0,137,2808,0,0,3759,0,747,2303,0,18,27538,0,39097,605,0,1126,23573,2636,48
2022,4,Chubut,20026,8,69,32,836,778,5910,5397,11441,5571,2407,15731,155,12646,151,18055,1,14445,18677,0,0,1573,2967,4134,9658,0,18,17350,0,524,0,0,1,26,0,0
2022,4,Córdoba,17610,2,87,10,83,9846,8156,35410,4897,13730,7765,73542,2772,13784,1761,89871,87,8527,25249,134,58,28939,2,15300,5371,8,218,202477,4954,252299,75,16,369,199876,25138,583
2022,4,Corrientes,7998,0,10,57,118,3164,2959,6371,480,1738,1795,9304,0,4584,0,20274,0,2,1773,1108,0,4142,0,425,3359,0,0,25837,0,30979,1013,0,1028,23782,2786,68
2022,4,Entre Ríos,0,1,20,86,113,4609,5452,9830,390,2610,5716,21631,1139,2400,0,43161,0,2828,4657,1,1,13440,1,758,21742,0,0,34033,51,46823,849,1,531,43529,4317,119
2022,4,Formosa,698,0,49,35,0,245,1631,10385,0,3296,1714,5432,108,137,0,12146,0,40,1326,0,0,5358,0,8,306,2,32,946,0,7835,0,0,0,9208,885,18
