año,trimestre,provincia,accesos_por_cada_100_hogares
2016,4,Formosa,19
2016,4,Jujuy,22
2016,4,La Pampa,63
2016,4,La Rioja,16
2016,4,Mendoza,32
2016,4,Misiones,29
2016,4,Neuquén,60
2016,4,Río Negro,46
2016,4,Salta,32
2016,4,San Juan,27
2016,4,San Luis,9
2016,4,Santa Cruz,27
2016,4,Santa Fe,52
2016,4,Santiago Del Estero,15
2016,4,Tierra Del Fuego,70
2016,4,Tucumán,37
2016,3,Buenos Aires,60
2016,3,Capital Federal,120
2016,3,Catamarca,26
2016,3,Chaco,28
2016,3,Chubut,36
2016,3,Córdoba,58
2016,3,Corrientes,31
2016,3,Entre Ríos,45
2016,3,Formosa,18
2016,3,Jujuy,22
2016,3,La Pampa,61
2016,3,La Rioja,17
2016,3,Mendoza,32
2016,3,Misiones,29
2016,3,Neuquén,60
2016,3,Río Negro,46
2016,3,Salta,32
2016,3,San Juan,27
2016,3,San Luis,9
2016,3,Santa Cruz,26
2016,3,Santa Fe,52
2016,3,Santiago Del Estero,15
2016,3,Tierra Del Fuego,68
2016,3,Tucumán,37
2016,2,Buenos Aires,59
2016,2,Capital Federal,120
2016,2,Catamarca,26
2016,2,Chaco,28
2016,2,Chubut,36
2016,2,Córdoba,57
2016,2,Corrientes,30
2016,2,Entre Ríos,44
2016,2,Formosa,19
2016,2,Jujuy,21
2016,2,La Pampa,60
2016,2,La Rioja,16
2016,2,Mendoza,32
2016,2,Misiones,29
2016,2,Neuquén,59
2016,2,Río Negro,46
2016,2,Salta,32
2016,2,San Juan,27
2016,2,San Luis,9
2016,2,Santa Cruz,26
2016,2,Santa Fe,52
2016,2,Santiago Del Estero,15
2016,2,Tierra Del Fuego,67
2016,2,Tucumán,37
2016,1,Buenos Aires,57
2016,1,Capital Federal,115
2016,1,Catamarca,25
2016,1,Chaco,28
2016,1,Chubut,36
2016,1,Córdoba,55
2016,1,Corrientes,30
2016,1,Entre Ríos,43
2016,1,Formosa,19
2016,1,Jujuy,21
2016,1,La Pampa,57
2016,1,La Rioja,16
2016,1,Mendoza,32
2016,1,Misiones,28
2016,1,Neuquén,55
2016,1,Río Negro,45
2016,1,Salta,31
2016,1,San Juan,27
2016,1,San Luis,9
2016,1,Santa Cruz,26
2016,1,Santa Fe,51
2016,1,Santiago Del Estero,16
2016,1,Tierra Del Fuego,65
2016,1,Tucumán,36
2015,4,Buenos Aires,58
2015,4,Capital Federal,118
2015,4,Catamarca,26
2015,4,Chaco,28
2015,4,Chubut,36
2015,4,Córdoba,57
2015,4,Corrientes,30
2015,4,Entre Ríos,44
2015,4,Formosa,19
2015,4,Jujuy,21
2015,4,La Pampa,58
2015,4,La Rioja,17
